videoTime;deviceName;eyeResolution;fov;targetFramerate;freezeTime;videoStartDelay;bufferingCount;networkLatency;videoResolution;videoLength;videoFrameRate;videoFrameCount;videoFinalFrame;deviceModel;freezes
0.92;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;23;G3 3500 (Dell Inc.);""
1.92;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;48;G3 3500 (Dell Inc.);""
2.92;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;73;G3 3500 (Dell Inc.);""
3.92;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;98;G3 3500 (Dell Inc.);""
4.92;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;123;G3 3500 (Dell Inc.);""
5.92;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;148;G3 3500 (Dell Inc.);""
6.92;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;173;G3 3500 (Dell Inc.);""
7.92;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;198;G3 3500 (Dell Inc.);""
8.92;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;223;G3 3500 (Dell Inc.);""
9.92;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;248;G3 3500 (Dell Inc.);""
10.92;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;273;G3 3500 (Dell Inc.);""
11.92;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;298;G3 3500 (Dell Inc.);""
12.92;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;323;G3 3500 (Dell Inc.);""
13.92;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;348;G3 3500 (Dell Inc.);""
14.20;;0x0;60;-1;0,7;0,05;1;2194,7;640x360;108,52;25,00;2713;355;G3 3500 (Dell Inc.);""
14.20;;0x0;60;-1;1,7;0,05;1;2194,7;640x360;108,52;25,00;2713;355;G3 3500 (Dell Inc.);""
14.80;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;370;G3 3500 (Dell Inc.);"[14,20-16,36:2,16s]"
15.80;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;395;G3 3500 (Dell Inc.);""
16.80;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;420;G3 3500 (Dell Inc.);""
17.80;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;445;G3 3500 (Dell Inc.);""
18.80;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;470;G3 3500 (Dell Inc.);""
19.80;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;495;G3 3500 (Dell Inc.);""
20.80;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;520;G3 3500 (Dell Inc.);""
21.80;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;545;G3 3500 (Dell Inc.);""
22.80;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;570;G3 3500 (Dell Inc.);""
23.80;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;595;G3 3500 (Dell Inc.);""
24.80;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;620;G3 3500 (Dell Inc.);""
25.80;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;645;G3 3500 (Dell Inc.);""
26.80;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;670;G3 3500 (Dell Inc.);""
27.28;;0x0;60;-1;0,5;0,05;1;2194,7;640x360;108,52;25,00;2713;682;G3 3500 (Dell Inc.);""
27.28;;0x0;60;-1;1,5;0,05;1;2194,7;640x360;108,52;25,00;2713;682;G3 3500 (Dell Inc.);""
27.28;;0x0;60;-1;2,5;0,05;1;2194,7;640x360;108,52;25,00;2713;682;G3 3500 (Dell Inc.);""
27.28;;0x0;60;-1;3,5;0,05;1;2194,7;640x360;108,52;25,00;2713;682;G3 3500 (Dell Inc.);""
28.24;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;706;G3 3500 (Dell Inc.);"[27,28-30,87:3,59s]"
29.24;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;731;G3 3500 (Dell Inc.);""
30.24;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;756;G3 3500 (Dell Inc.);""
31.24;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;781;G3 3500 (Dell Inc.);""
32.24;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;806;G3 3500 (Dell Inc.);""
33.24;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;831;G3 3500 (Dell Inc.);""
34.24;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;856;G3 3500 (Dell Inc.);""
35.24;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;881;G3 3500 (Dell Inc.);""
36.24;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;906;G3 3500 (Dell Inc.);""
37.24;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;931;G3 3500 (Dell Inc.);""
38.24;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;956;G3 3500 (Dell Inc.);""
38.92;;0x0;60;-1;0,3;0,05;1;2194,7;640x360;108,52;25,00;2713;973;G3 3500 (Dell Inc.);""
38.92;;0x0;60;-1;1,3;0,05;1;2194,7;640x360;108,52;25,00;2713;973;G3 3500 (Dell Inc.);""
38.92;;0x0;60;-1;2,3;0,05;1;2194,7;640x360;108,52;25,00;2713;973;G3 3500 (Dell Inc.);""
39.80;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;995;G3 3500 (Dell Inc.);"[38,92-41,38:2,46s]"
40.80;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;1020;G3 3500 (Dell Inc.);""
41.80;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;1045;G3 3500 (Dell Inc.);""
42.80;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;1070;G3 3500 (Dell Inc.);""
43.80;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;1095;G3 3500 (Dell Inc.);""
44.80;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;1120;G3 3500 (Dell Inc.);""
45.80;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;1145;G3 3500 (Dell Inc.);""
46.80;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;1170;G3 3500 (Dell Inc.);""
47.80;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;1195;G3 3500 (Dell Inc.);""
48.68;;0x0;60;-1;0,2;0,05;1;2194,7;640x360;108,52;25,00;2713;1217;G3 3500 (Dell Inc.);""
48.68;;0x0;60;-1;1,2;0,05;1;2194,7;640x360;108,52;25,00;2713;1217;G3 3500 (Dell Inc.);""
48.68;;0x0;60;-1;2,2;0,05;1;2194,7;640x360;108,52;25,00;2713;1217;G3 3500 (Dell Inc.);""
49.64;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;1241;G3 3500 (Dell Inc.);"[48,68-50,89:2,21s]"
50.64;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;1266;G3 3500 (Dell Inc.);""
51.64;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;1291;G3 3500 (Dell Inc.);""
52.64;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;1316;G3 3500 (Dell Inc.);""
53.64;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;1341;G3 3500 (Dell Inc.);""
54.64;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;1366;G3 3500 (Dell Inc.);""
55.64;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;1391;G3 3500 (Dell Inc.);""
56.64;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;1416;G3 3500 (Dell Inc.);""
57.64;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;1441;G3 3500 (Dell Inc.);""
58.64;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;1466;G3 3500 (Dell Inc.);""
58.96;;0x0;60;-1;0,7;0,05;1;2194,7;640x360;108,52;25,00;2713;1474;G3 3500 (Dell Inc.);""
58.96;;0x0;60;-1;1,7;0,05;1;2194,7;640x360;108,52;25,00;2713;1474;G3 3500 (Dell Inc.);""
58.96;;0x0;60;-1;2,7;0,05;1;2194,7;640x360;108,52;25,00;2713;1474;G3 3500 (Dell Inc.);""
59.76;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;1494;G3 3500 (Dell Inc.);"[58,96-61,87:2,91s]"
60.76;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;1519;G3 3500 (Dell Inc.);""
61.76;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;1544;G3 3500 (Dell Inc.);""
62.76;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;1569;G3 3500 (Dell Inc.);""
63.76;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;1594;G3 3500 (Dell Inc.);""
64.76;;0x0;60;-1;0,0;0,05;1;2194,7;640x360;108,52;25,00;2713;1619;G3 3500 (Dell Inc.);""
65.08;;0x0;60;-1;0,7;0,05;1;2194,7;640x360;108,52;25,00;2713;1627;G3 3500 (Dell Inc.);""
65.08;;0x0;60;-1;1,7;0,05;1;2194,7;640x360;108,52;25,00;2713;1627;G3 3500 (Dell Inc.);""
