videoTime;deviceName;eyeResolution;fov;targetFramerate;freezeTime;videoStartDelay;bufferingCount;networkLatency;videoResolution;videoLength;videoFrameRate;videoFrameCount;videoFinalFrame;deviceModel;freezes
0.88;;0x0;60;-1;0,0;0.09;1;1966,8 ;640x360;108.52;25.00;2713;22;G3 3500 (Dell Inc.);""
1.88;;0x0;60;-1;0,0;0.09;1;1966,8 ;640x360;108.52;25.00;2713;47;G3 3500 (Dell Inc.);""
2.88;;0x0;60;-1;0,0;0.09;1;1966,8 ;640x360;108.52;25.00;2713;72;G3 3500 (Dell Inc.);""
3.88;;0x0;60;-1;0,0;0.09;1;1966,8 ;640x360;108.52;25.00;2713;97;G3 3500 (Dell Inc.);""
4.88;;0x0;60;-1;0,0;0.09;1;1966,8 ;640x360;108.52;25.00;2713;122;G3 3500 (Dell Inc.);""
5.88;;0x0;60;-1;0,0;0.09;1;1966,8 ;640x360;108.52;25.00;2713;147;G3 3500 (Dell Inc.);""
6.88;;0x0;60;-1;0,0;0.09;1;1966,8 ;640x360;108.52;25.00;2713;172;G3 3500 (Dell Inc.);""
7.88;;0x0;60;-1;0,0;0.09;1;1966,8 ;640x360;108.52;25.00;2713;197;G3 3500 (Dell Inc.);""
8.88;;0x0;60;-1;0,0;0.09;1;1966,8 ;640x360;108.52;25.00;2713;222;G3 3500 (Dell Inc.);""
9.88;;0x0;60;-1;0,0;0.09;1;1966,8 ;640x360;108.52;25.00;2713;247;G3 3500 (Dell Inc.);""
10.88;;0x0;60;-1;0,0;0.09;1;1966,8 ;640x360;108.52;25.00;2713;272;G3 3500 (Dell Inc.);""
11.12;;0x0;60;-1;0,8;0.09;1;1966,8 ;640x360;108.52;25.00;2713;278;G3 3500 (Dell Inc.);""
11.12;;0x0;60;-1;1,8;0.09;1;1966,8 ;640x360;108.52;25.00;2713;278;G3 3500 (Dell Inc.);""
11.12;;0x0;60;-1;2,8;0.09;1;1966,8 ;640x360;108.52;25.00;2713;278;G3 3500 (Dell Inc.);""
11.24;;0x0;60;-1;0,0;0.09;1;1966,8 ;640x360;108.52;25.00;2713;281;G3 3500 (Dell Inc.);"[11,12-14,79:3,67s]"
12.24;;0x0;60;-1;0,0;0.09;1;1966,8 ;640x360;108.52;25.00;2713;306;G3 3500 (Dell Inc.);""
13.24;;0x0;60;-1;0,0;0.09;1;1966,8 ;640x360;108.52;25.00;2713;331;G3 3500 (Dell Inc.);""
14.24;;0x0;60;-1;0,0;0.09;1;1966,8 ;640x360;108.52;25.00;2713;356;G3 3500 (Dell Inc.);""
15.24;;0x0;60;-1;0,0;0.09;1;1966,8 ;640x360;108.52;25.00;2713;381;G3 3500 (Dell Inc.);""
16.24;;0x0;60;-1;0,0;0.09;1;1966,8 ;640x360;108.52;25.00;2713;406;G3 3500 (Dell Inc.);""
17.24;;0x0;60;-1;0,0;0.09;1;1966,8 ;640x360;108.52;25.00;2713;431;G3 3500 (Dell Inc.);""
18.24;;0x0;60;-1;0,0;0.09;1;1966,8 ;640x360;108.52;25.00;2713;456;G3 3500 (Dell Inc.);""
19.24;;0x0;60;-1;0,0;0.09;1;1966,8 ;640x360;108.52;25.00;2713;481;G3 3500 (Dell Inc.);""
20.24;;0x0;60;-1;0,0;0.09;1;1966,8 ;640x360;108.52;25.00;2713;506;G3 3500 (Dell Inc.);""
21.24;;0x0;60;-1;0,0;0.09;1;1966,8 ;640x360;108.52;25.00;2713;531;G3 3500 (Dell Inc.);""
