videoTime;deviceName;eyeResolution;fov;targetFramerate;freezeTime;videoStartDelay;bufferingCount;networkLatency;videoResolution;videoLength;videoFrameRate;videoFrameCount;videoFinalFrame;deviceModel;freezes
0.92;;0x0;60;-1;0,0;0,06;1;1710,1;640x360;108,52;25,00;2713;23;G3 3500 (Dell Inc.);""
1.92;;0x0;60;-1;0,0;0,06;1;1710,1;640x360;108,52;25,00;2713;48;G3 3500 (Dell Inc.);""
2.92;;0x0;60;-1;0,0;0,06;1;1710,1;640x360;108,52;25,00;2713;73;G3 3500 (Dell Inc.);""
3.92;;0x0;60;-1;0,0;0,06;1;1710,1;640x360;108,52;25,00;2713;98;G3 3500 (Dell Inc.);""
4.92;;0x0;60;-1;0,0;0,06;1;1710,1;640x360;108,52;25,00;2713;123;G3 3500 (Dell Inc.);""
5.92;;0x0;60;-1;0,0;0,06;1;1710,1;640x360;108,52;25,00;2713;148;G3 3500 (Dell Inc.);""
6.36;;0x0;60;-1;0,6;0,06;1;1710,1;640x360;108,52;25,00;2713;159;G3 3500 (Dell Inc.);""
6.36;;0x0;60;-1;1,6;0,06;1;1710,1;640x360;108,52;25,00;2713;159;G3 3500 (Dell Inc.);""
6.76;;0x0;60;-1;0,0;0,06;1;1710,1;640x360;108,52;25,00;2713;169;G3 3500 (Dell Inc.);"[6,36-8,57:2,21s]"
7.76;;0x0;60;-1;0,0;0,06;1;1710,1;640x360;108,52;25,00;2713;194;G3 3500 (Dell Inc.);""
8.76;;0x0;60;-1;0,0;0,06;1;1710,1;640x360;108,52;25,00;2713;219;G3 3500 (Dell Inc.);""
9.76;;0x0;60;-1;0,0;0,06;1;1710,1;640x360;108,52;25,00;2713;244;G3 3500 (Dell Inc.);""
10.76;;0x0;60;-1;0,0;0,06;1;1710,1;640x360;108,52;25,00;2713;269;G3 3500 (Dell Inc.);""
11.76;;0x0;60;-1;0,0;0,06;1;1710,1;640x360;108,52;25,00;2713;294;G3 3500 (Dell Inc.);""
12.76;;0x0;60;-1;0,0;0,06;1;1710,1;640x360;108,52;25,00;2713;319;G3 3500 (Dell Inc.);""
13.76;;0x0;60;-1;0,0;0,06;1;1710,1;640x360;108,52;25,00;2713;344;G3 3500 (Dell Inc.);""
14.76;;0x0;60;-1;0,0;0,06;1;1710,1;640x360;108,52;25,00;2713;369;G3 3500 (Dell Inc.);""
15.76;;0x0;60;-1;0,0;0,06;1;1710,1;640x360;108,52;25,00;2713;394;G3 3500 (Dell Inc.);""
16.00;;0x0;60;-1;0,8;0,06;1;1710,1;640x360;108,52;25,00;2713;400;G3 3500 (Dell Inc.);""
16.00;;0x0;60;-1;1,8;0,06;1;1710,1;640x360;108,52;25,00;2713;400;G3 3500 (Dell Inc.);""
16.32;;0x0;60;-1;0,0;0,06;1;1710,1;640x360;108,52;25,00;2713;408;G3 3500 (Dell Inc.);"[16,00-18,49:2,49s]"
